,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
0,tasiilaq,gl,65.6134561,-37.6335696,28.56,76.0,69.0,5.23
1,busselton,au,-33.6516465,115.3473335,46.04,81.0,1.0,8.12
2,albany,au,42.6525793,-73.7562317,48.85,74.0,1.0,1.99
3,cherskiy,ru,68.742677,161.3507839,-16.02,94.0,91.0,0.69
4,west wendover,us,40.739097,-114.073345,43.81,81.0,1.0,0.0
5,berlevag,no,70.7198284,29.0300862,39.0,75.0,0.0,20.71
6,buala,sb,-8.1662459,159.6189829,80.87,83.0,57.0,10.09
7,punta arenas,cl,-53.1638329,-70.9170683,48.31,57.0,75.0,26.46
8,hilo,us,19.7241106,-155.0868193,65.93,63.0,1.0,6.91
9,kahului,us,20.8893351,-156.4729469,70.23,86.0,1.0,5.75
10,qaanaaq,gl,77.4670434,-69.2284827,12.31,71.0,41.0,8.01
11,pevek,ru,69.7029321,170.307033,-0.17,93.0,100.0,2.33
12,pryozerne,ua,45.6086835,29.1664778,51.71,83.0,0.0,10.13
13,zhigansk,ru,66.75206399999999,123.3941119,-4.32,100.0,93.0,2.98
14,rikitea,pf,-23.1223034,-134.9691543,75.31,75.0,100.0,18.9
15,bluff,nz,38.9152879,-92.299972,52.65,91.0,100.0,8.3
16,georgetown,sh,38.9076089,-77.07225849999999,81.91,89.0,20.0,0.0
17,padilla,bo,44.9772377,-93.2509379,76.57,69.0,78.0,3.67
18,mataura,pf,-46.1939524,168.8654783,49.05,98.0,83.0,3.44
19,yellowknife,ca,62.4539717,-114.3717887,31.62,99.0,63.0,8.99
20,ribeira grande,pt,37.8210369,-25.5148137,72.0,88.0,40.0,14.97
21,severo-kurilsk,ru,50.6683424,156.115192,43.54,96.0,100.0,3.29
22,richards bay,za,-28.7807276,32.0382856,70.47,73.0,15.0,18.34
23,new norfolk,au,-42.781144,147.0622665,40.28,64.0,54.0,4.0
24,khatanga,ru,71.964027,102.4406129,-5.6,90.0,99.0,9.1
25,ushuaia,ar,-54.8019121,-68.3029511,44.26,61.0,75.0,27.63
26,rungata,ki,-1.3493599,176.445007,,,,
27,kavaratti,in,10.5593204,72.63581340000002,82.51,73.0,100.0,5.12
28,lebu,cl,-37.6080479,-73.6514907,58.5,71.0,83.0,17.31
29,kasongo,cd,-4.4238447,26.6700737,72.84,90.0,91.0,1.79
30,barrow,us,34.0142667,-83.6986568,-9.38,77.0,1.0,11.5
31,zyryanka,ru,65.767376,150.841238,-0.9,97.0,100.0,1.1
32,butaritari,ki,3.1166667,172.8,82.6,71.0,3.0,15.82
33,atuona,pf,-9.8028605,-139.0398069,77.81,71.0,96.0,14.63
34,belushya guba,ru,71.53903389999999,52.3381368,,,,
35,port alfred,za,-33.5864065,26.8851448,65.98,79.0,64.0,19.86
36,palmer,us,32.431252,-96.66776999999999,48.78,63.0,40.0,1.99
37,atka,ru,52.1961111,-174.2005556,,,,
38,mount gambier,au,-37.8398399,140.7553,41.61,76.0,6.0,4.59
39,nanortalik,gl,60.1424955,-45.2394951,35.73,79.0,100.0,2.37
40,thompson,ca,47.7735899,-97.109805,38.32,82.0,60.0,7.2
41,carnarvon,au,-24.8838363,113.6570584,66.27,68.0,0.0,19.57
42,upernavik,gl,72.7862882,-56.1375527,20.01,58.0,11.0,5.55
43,pisco,pe,38.9039822,-77.0426401,66.25,77.0,0.0,9.22
44,beringovskiy,ru,63.0611249,179.3485395,7.16,89.0,95.0,2.46
45,kaitangata,nz,-46.2858467,169.8460662,51.71,94.0,77.0,7.16
46,sorvag,fo,62.07129279999999,-7.3058656,,,,
47,nizhniy kuranakh,ru,58.816667,125.5333329,18.99,84.0,97.0,9.53
48,balod,in,20.7270655,81.2055798,71.8,78.0,42.0,4.94
49,avarua,ck,-21.2129007,-159.7823059,71.65,73.0,17.0,6.91
50,hobart,au,41.5322592,-87.2550353,42.3,70.0,75.0,3.0
51,domoni,km,-12.2632051,44.5290018,77.72,71.0,67.0,7.14
52,mimongo,ga,-1.6240082,11.6001358,75.96,90.0,99.0,1.68
53,comodoro rivadavia,ar,-45.8656149,-67.4822429,71.46,30.0,0.0,21.85
54,tupaciguara,br,-18.5943699,-48.7025321,87.94,33.0,61.0,4.14
55,hasaki,jp,40.72969990000001,-73.98881349999999,48.6,56.0,16.0,12.95
56,kiunga,pg,-6.1202907,141.2998457,72.36,99.0,100.0,1.07
57,alice,za,40.745487,-73.99168499999999,72.73,19.0,1.0,14.97
58,nizhneyansk,ru,71.450058,136.1122279,,,,
59,rodos,gr,40.348696,-79.817128,69.13,68.0,20.0,3.0
60,lumphat,kh,13.4833399,106.9801346,73.81,96.0,78.0,4.63
61,port macquarie,au,-31.433333,152.9,67.96,72.0,91.0,8.39
62,tuatapere,nz,-46.1315913,167.6896869,50.34,96.0,99.0,4.14
63,troitskoye,ru,50.7533064,127.9379712,40.5,60.0,66.0,10.07
64,cidreira,br,-30.1768565,-50.2089209,71.82,75.0,100.0,18.21
65,hithadhoo,mv,-0.6060574,73.0892245,83.84,72.0,52.0,12.44
66,vaini,to,-21.1935,-175.1751534,73.56,94.0,75.0,9.22
67,nikolskoye,ru,55.1981604,166.0015368,52.09,82.0,18.0,9.19
68,varzea da palma,br,-17.5989135,-44.7331539,91.56,25.0,17.0,6.15
69,grants,us,36.670484,-96.337673,39.43,60.0,1.0,0.0
70,leningradskiy,ru,45.0968573,-93.3976883,-11.58,94.0,21.0,5.41
71,zhirnovsk,ru,50.979243,44.7790426,41.9,70.0,10.0,4.36
72,ponta do sol,cv,32.6854883,-17.0864266,74.7,63.0,97.0,10.27
73,cape town,za,-33.9248685,18.4240553,67.69,68.0,75.0,3.0
74,pacific grove,us,36.6177374,-121.9166215,58.64,91.0,40.0,1.99
75,saint-joseph,re,39.7674578,-94.84668099999999,71.02,79.0,83.0,9.4
76,tura,ru,41.1989667,-76.8178436,67.23,88.0,2.0,4.29
77,kodiak,us,57.79000000000001,-152.4072221,27.91,86.0,90.0,5.75
78,coihaique,cl,-45.5712254,-72.068265,58.95,55.0,90.0,8.05
79,okahandja,na,-21.9718816,16.9063491,86.83,23.0,72.0,26.6
80,kutahya,tr,39.4199547,29.985732,48.15,60.0,2.0,7.9
81,cabo san lucas,mx,22.8905327,-109.9167371,79.86,57.0,1.0,4.61
82,illoqqortoormiut,gl,70.48556909999999,-21.9628757,,,,
83,lucapa,ao,-8.4432485,20.7301263,72.66,84.0,96.0,3.94
84,taolanaro,mg,-25.0225309,46.9853688,,,,
85,casablanca,ma,42.357946,-73.28258679999999,74.34,60.0,99.0,11.01
86,ulaangom,mn,49.9903359,92.0557583,33.8,71.0,37.0,2.77
87,saint-philippe,re,-21.3595223,55.7665126,71.96,81.0,88.0,6.87
88,mumbwa,zm,-14.9848228,27.0617553,84.85,22.0,9.0,6.06
89,vilyuysk,ru,63.74644029999999,121.6276667,8.92,93.0,96.0,6.31
90,batagay,ru,67.66251299999999,134.65435,7.36,95.0,100.0,1.83
91,sinnamary,gf,5.3746712,-52.9545991,82.09,78.0,29.0,5.57
92,candelaria,mx,-27.4617416,-55.7448645,78.39,91.0,38.0,6.44
93,atambua,id,-9.101628999999999,124.9120662,77.31,82.0,93.0,2.04
94,kapaa,us,22.0881391,-159.3379818,68.86,99.0,1.0,6.91
95,ust-nera,ru,64.5596103,143.2244252,2.03,98.0,100.0,5.59
96,kruisfontein,za,-33.9843356,24.732102,62.89,67.0,43.0,15.97
97,pangnirtung,ca,66.1465578,-65.7012182,32.0,100.0,90.0,0.0
98,santa luzia,br,16.7644992,-24.7439749,79.7,44.0,100.0,6.82
99,zaidpur,in,26.833931,81.331402,69.87,50.0,0.0,5.5
100,saldanha,za,-33.0276981,17.9176312,64.38,79.0,0.0,8.01
101,san pedro,bo,33.7360619,-118.2922461,79.48,77.0,23.0,11.32
102,norman wells,ca,65.28149379999999,-126.8286524,22.82,95.0,100.0,5.61
103,bredasdorp,za,-34.5385222,20.0568771,62.28,72.0,80.0,18.1
104,broome,au,42.1791865,-75.8533954,49.95,65.0,1.0,3.0
105,maraba,br,-5.3671244,-49.1230973,91.58,62.0,75.0,4.61
106,lagoa,pt,37.1356176,-8.4514359,68.63,91.0,94.0,14.25
107,savalou,bj,7.930136500000001,1.9710284,90.52,52.0,93.0,5.03
108,methoni,gr,36.8199022,21.7063018,62.46,60.0,100.0,5.86
109,tabiauea,ki,0.9182079999999999,173.027965,,,,
110,jarocin,pl,51.9724492,17.5019414,53.29,46.0,90.0,8.21
111,monroe,us,34.9854275,-80.5495112,52.39,76.0,75.0,16.11
112,umzimvubu,za,-30.7781755,28.9528645,,,,
113,abbeville,us,34.1781719,-82.3790147,57.83,83.0,100.0,13.4
114,gao,ml,38.8097653,-104.7385201,100.08,12.0,43.0,6.8
115,salalah,om,17.0193843,54.11075049999999,81.39,70.0,56.0,14.18
116,constitucion,mx,29.918556,-106.8032939,66.83,56.0,65.0,15.39
117,lima,pe,-12.0463731,-77.042754,62.85,72.0,90.0,11.5
118,mar del plata,ar,-38.0054771,-57.5426106,71.62,73.0,0.0,13.8
119,jamestown,sh,37.2116383,-76.7752102,49.98,95.0,90.0,5.01
120,padre bernardo,br,-15.1688912,-48.2806604,95.67,22.0,29.0,3.62
121,tual,id,-5.626563,132.7520867,84.04,69.0,100.0,2.64
122,sao joao da barra,br,-21.633614,-41.049001,75.29,85.0,100.0,7.49
123,tiksi,ru,71.63748199999999,128.8644716,9.3,93.0,100.0,7.25
124,port elizabeth,za,-33.9608369,25.6022423,65.1,75.0,13.0,18.95
125,faanui,pf,-16.4867378,-151.7429125,78.4,75.0,97.0,15.99
126,esperance,au,-33.8613953,121.8912724,51.37,74.0,33.0,5.93
127,saint anthony,ca,43.96630080000001,-111.6821847,50.14,75.0,1.0,3.0
128,gulshat,kz,28.6024274,-81.2000599,,,,
129,massakory,td,12.9953534,15.7321831,97.21,11.0,50.0,5.75
130,allende,mx,28.3498233,-100.850791,72.59,22.0,0.0,3.24
131,sentyabrskiy,ru,60.49545690000001,72.2080598,,,,
132,port-gentil,ga,-0.7351025999999999,8.7591311,80.47,79.0,38.0,9.13
133,torbay,ca,50.4619209,-3.525315,40.87,92.0,100.0,17.0
134,simi,gr,34.2694474,-118.781482,84.2,76.0,97.0,3.02
135,bobcaygeon,ca,44.5404573,-78.5463692,52.34,78.0,95.0,12.5
136,virginia beach,us,36.8529263,-75.97798499999999,69.94,95.0,100.0,3.0
137,talnakh,ru,69.5,88.39999999999999,12.99,95.0,100.0,8.34
138,horta,pt,38.5348447,-28.6299812,71.24,88.0,40.0,14.97
139,hermanus,za,-34.4092004,19.2504436,62.8,81.0,91.0,13.31
140,bathsheba,bb,33.880935,-84.469805,86.61,58.0,20.0,17.27
141,winneba,gh,5.3622295,-0.6298922,82.6,75.0,72.0,11.45
142,aklavik,ca,68.219916,-135.0077881,23.72,95.0,100.0,2.53
143,katha,mm,45.052136,-93.34068099999999,,,,
144,tommot,ru,58.96370409999999,126.2725057,20.05,82.0,99.0,10.2
145,katsuura,jp,35.1522272,140.3208833,59.13,65.0,1.0,10.85
146,puerto ayora,ec,-0.7432918,-90.3156893,78.76,86.0,99.0,10.11
147,isangel,vu,-19.54172,169.2803499,74.57,88.0,75.0,8.34
148,mehamn,no,71.0357069,27.848941,39.15,75.0,75.0,20.71
149,uthai thani,th,15.3835001,100.0245527,74.19,94.0,100.0,2.57
150,bethel,us,38.0736885,-97.3433008,49.91,76.0,75.0,1.99
151,talcahuano,cl,-36.7247834,-73.1169808,62.28,63.0,0.0,14.97
152,tessalit,ml,20.2573532,0.9910297999999998,95.77,13.0,99.0,9.26
153,devils lake,us,43.4183975,-89.7309534,46.17,59.0,1.0,11.01
154,niksic,me,42.7804735,18.9561661,52.3,55.0,0.0,0.87
155,cortez,us,37.3488827,-108.5859265,46.94,57.0,1.0,3.44
156,mullaitivu,lk,9.2670911,80.81424799999999,,,,
157,milkovo,ru,54.687013,158.6173329,27.54,94.0,45.0,2.48
158,necochea,ar,-38.5544968,-58.73960879999999,88.03,34.0,98.0,16.11
159,biltine,td,14.5257818,20.9238397,91.27,9.0,4.0,7.56
160,los llanos de aridane,es,28.6183515,-17.8998566,68.13,80.0,40.0,4.0
161,taksimo,ru,56.3667702,114.8344788,16.97,65.0,0.0,2.26
162,barentsburg,sj,78.0648475,14.2334597,,,,
163,tuktoyaktuk,ca,69.445358,-133.034181,21.45,92.0,100.0,4.79
164,sitka,us,45.6927719,-111.0327072,39.09,81.0,90.0,8.05
165,arraial do cabo,br,-22.9667613,-42.0277716,71.46,94.0,75.0,11.5
166,codrington,ag,17.6425736,-61.8204456,42.67,76.0,36.0,7.96
167,catamarca,ar,-28.469581,-65.7795441,94.77,36.0,73.0,5.99
168,mys shmidta,ru,68.8931114,-179.4125967,,,,
169,kopayhorod,ua,48.854094,27.7996667,56.61,73.0,10.0,7.43
170,birjand,ir,32.8649039,59.2262472,57.83,29.0,70.0,3.42
171,zile,tr,40.301847,35.886722,49.32,69.0,82.0,6.15
172,wukari,ng,7.930312499999999,9.8124935,92.01,44.0,97.0,2.57
173,port lincoln,au,-34.7226381,135.8597449,51.6,67.0,6.0,8.63
174,tomatlan,mx,19.9344504,-105.2516629,84.56,70.0,4.0,2.26
175,nome,us,64.5011111,-165.4063889,26.67,60.0,75.0,12.66
176,kununurra,au,-15.7783483,128.7439001,82.38,78.0,31.0,1.14
177,loa janan,id,-0.7048801,117.0323305,74.07,98.0,97.0,0.4
178,vestmannaeyjar,is,63.437679,-20.267321,46.74,83.0,98.0,22.08
179,clarksville,us,36.5297706,-87.3594528,53.69,96.0,90.0,4.61
180,guerrero negro,mx,27.9591758,-114.056646,72.12,56.0,0.0,2.1
181,walvis bay,na,-22.9584081,14.5057511,64.09,54.0,1.0,22.28
182,nokaneng,bw,-19.6633028,22.1936928,89.58,28.0,49.0,3.94
183,fort saint john,ca,56.252423,-120.846409,,,,
184,deputatskiy,ru,69.30260299999999,139.9583829,7.0,90.0,100.0,7.45
185,rio grande,br,29.521204,-101.259159,76.95,66.0,9.0,17.83
186,praia da vitoria,pt,38.7339162,-27.0646976,72.75,89.0,100.0,8.86
187,cagayan de tawi-tawi,ph,6.997029299999999,118.4747173,,,,
188,provideniya,ru,64.4031643,-173.2064559,9.05,80.0,39.0,3.98
189,bongor,td,10.2748807,15.3775245,94.89,28.0,27.0,0.51
190,bambous virieux,mu,-20.3438619,57.7636821,73.22,74.0,82.0,11.03
191,lompoc,us,34.6391501,-120.4579409,66.02,67.0,1.0,4.61
192,ahipara,nz,-35.1713175,173.1533354,57.85,94.0,57.0,5.1
193,castro,cl,37.7609082,-122.4350043,71.26,67.0,97.0,4.34
194,yamasaki,jp,41.3134215,-72.9321788,53.35,81.0,2.0,4.72
195,griffith,au,41.5283693,-87.42364970000001,53.64,96.0,90.0,4.0
196,paamiut,gl,61.99411509999999,-49.6665709,33.51,93.0,100.0,5.46
197,sidi ali,dz,36.1008532,0.4220044,68.85,56.0,97.0,6.26
198,sept-iles,ca,50.21329679999999,-66.37579199999999,48.54,39.0,0.0,0.94
199,guelengdeng,td,10.9189109,15.5503683,,,,
200,perelyub,ru,51.8614971,50.3456762,41.56,78.0,100.0,8.34
201,saint george,bm,37.0965278,-113.5684164,57.2,61.0,1.0,0.0
202,saskylakh,ru,71.954308,114.1198349,-17.14,99.0,74.0,5.93
203,chuy,uy,36.045809,-96.005479,75.67,55.0,1.0,15.01
204,geraldton,au,-28.7761346,114.611295,55.81,76.0,0.0,13.8
205,khonuu,ru,66.455612,143.2225799,,,,
206,robertsport,lr,6.7509063,-11.367219,81.25,75.0,99.0,7.9
207,sunland park,us,31.796496,-106.5799891,60.89,26.0,1.0,3.0
208,aflu,dz,34.1139518,2.0973854,,,,
209,dongsheng,cn,39.822507,109.963338,40.46,37.0,7.0,7.65
210,santa marta,co,11.2403547,-74.2110227,83.68,74.0,100.0,13.0
211,ilulissat,gl,69.2198118,-51.0986031,19.42,79.0,40.0,4.61
212,juruti,br,-2.1633411,-56.0952985,94.51,40.0,39.0,4.16
213,hofn,is,64.24970259999999,-15.2020077,46.42,93.0,75.0,10.36
214,ucluelet,ca,48.9415997,-125.5463446,42.08,93.0,47.0,8.95
215,skjervoy,no,70.0339919,20.9737452,39.2,63.0,100.0,30.33
216,bintulu,my,3.171322,113.0419069,77.27,89.0,100.0,2.15
217,mantenopolis,br,-18.8617047,-41.121213,78.66,61.0,93.0,6.46
218,agadez,ne,16.9741689,7.986535,90.79,10.0,41.0,7.36
219,vao,nc,-15.8969511,167.3080313,70.38,73.0,3.0,11.86
220,aksarka,ru,66.5583101,67.7877623,16.56,79.0,100.0,14.56
221,boyolangu,id,-8.1195357,111.8942801,76.73,92.0,100.0,3.94
222,brae,gb,60.39685199999999,-1.3541129,51.71,97.0,100.0,11.68
223,barawe,so,1.1161954,44.0318162,,,,
224,wenling,cn,28.372506,121.385604,61.95,78.0,88.0,5.14
225,fortuna,us,40.5981867,-124.1572756,57.11,76.0,90.0,5.01
226,lubango,ao,-14.9186136,13.5321234,76.55,34.0,100.0,1.23
227,victoria,sc,36.9948743,-78.22722,77.97,78.0,79.0,5.99
228,olafsvik,is,64.89604849999999,-23.7060262,40.01,91.0,100.0,37.96
229,okha,ru,53.5893264,142.9521874,32.47,87.0,10.0,6.78
230,sao filipe,cv,14.8951679,-24.4945636,79.88,72.0,100.0,8.23
231,maloy,no,45.5198124,-122.6824361,55.53,77.0,100.0,8.01
232,nuuk,gl,64.18140989999999,-51.6941381,34.41,93.0,75.0,12.66
233,laguna,br,33.5427189,-117.7853568,57.2,96.0,1.0,1.01
234,eyl,so,40.7625718,-73.5427564,79.09,69.0,7.0,16.08
235,amderma,ru,69.751221,61.6636961,,,,
236,uray,ru,60.12543359999999,64.8066207,22.64,67.0,6.0,14.54
237,clyde river,ca,70.47636500000002,-68.60126509999999,28.11,91.0,97.0,10.89
238,erenhot,cn,43.653169,111.977943,42.6,41.0,24.0,9.91
239,viligili,mv,0.7573413,73.43422699999999,,,,
240,san juan,us,18.4655394,-66.1057355,91.49,23.0,93.0,8.99
241,portlethen,gb,57.061681,-2.129468,50.07,93.0,90.0,1.99
242,churapcha,ru,62.0036053,132.4308097,16.83,96.0,100.0,6.58
243,san cristobal,ec,16.7369928,-92.63759879999999,75.38,72.0,87.0,4.61
244,acapulco,mx,16.8531086,-99.8236533,85.82,70.0,1.0,4.61
245,aljezur,pt,37.31657,-8.7992645,68.74,81.0,100.0,13.06
246,murgab,tm,38.1869138,73.9976946,52.54,40.0,0.0,10.71
247,meulaboh,id,4.1436951,96.12811459999999,78.42,86.0,95.0,2.08
248,tromso,no,69.6497717,18.9841221,38.79,75.0,75.0,1.01
